Ukazatel,CasM,Hodnota
Z  Vejce slepičí konzumní tříděná [ks],2015-04,1.851
Z  Vejce slepičí konzumní tříděná [ks],2015-05,1.724
Z  Vejce slepičí konzumní tříděná [ks],2015-06,1.72
Z  Vejce slepičí konzumní tříděná [ks],2015-07,1.754
Z  Vejce slepičí konzumní tříděná [ks],2015-08,1.83
Z  Vejce slepičí konzumní tříděná [ks],2015-09,1.812
Z  Vejce slepičí konzumní tříděná [ks],2015-10,1.926
Z  Vejce slepičí konzumní tříděná [ks],2015-11,1.957
Z  Vejce slepičí konzumní tříděná [ks],2015-12,1.973
Z  Vejce slepičí konzumní tříděná [ks],2016-01,1.922
Z  Vejce slepičí konzumní tříděná [ks],2016-02,1.795
Z  Vejce slepičí konzumní tříděná [ks],2016-03,1.8
Z  Vejce slepičí konzumní tříděná [ks],2016-04,1.739
Z  Vejce slepičí konzumní tříděná [ks],2016-05,1.605
Z  Vejce slepičí konzumní tříděná [ks],2016-06,1.488
Z  Vejce slepičí konzumní tříděná [ks],2016-07,1.467
Z  Vejce slepičí konzumní tříděná [ks],2016-08,1.402
Z  Vejce slepičí konzumní tříděná [ks],2016-09,1.593
Z  Vejce slepičí konzumní tříděná [ks],2016-10,1.656
Z  Vejce slepičí konzumní tříděná [ks],2016-11,1.72
Z  Vejce slepičí konzumní tříděná [ks],2016-12,1.89
Z  Vejce slepičí konzumní tříděná [ks],2017-01,1.936
Z  Vejce slepičí konzumní tříděná [ks],2017-02,1.934
Z  Vejce slepičí konzumní tříděná [ks],2017-03,1.983
Z  Vejce slepičí konzumní tříděná [ks],2017-04,1.955
Z  Vejce slepičí konzumní tříděná [ks],2017-05,1.859
Z  Vejce slepičí konzumní tříděná [ks],2017-06,1.803
Z  Vejce slepičí konzumní tříděná [ks],2017-07,1.704
Z  Vejce slepičí konzumní tříděná [ks],2017-08,1.706
Z  Vejce slepičí konzumní tříděná [ks],2017-09,1.809
Z  Vejce slepičí konzumní tříděná [ks],2017-10,2.054
Z  Vejce slepičí konzumní tříděná [ks],2017-11,2.907
Z  Vejce slepičí konzumní tříděná [ks],2017-12,3.033
Z  Vejce slepičí konzumní tříděná [ks],2018-01,2.579
Z  Vejce slepičí konzumní tříděná [ks],2018-02,1.97
Z  Vejce slepičí konzumní tříděná [ks],2018-03,1.935
Z  Vejce slepičí konzumní tříděná [ks],2018-04,1.82
Z  Vejce slepičí konzumní tříděná [ks],2018-05,1.763
Z  Vejce slepičí konzumní tříděná [ks],2018-06,1.686
Z  Vejce slepičí konzumní tříděná [ks],2018-07,1.7
Z  Vejce slepičí konzumní tříděná [ks],2018-08,1.735
Z  Vejce slepičí konzumní tříděná [ks],2018-09,1.761
Z  Vejce slepičí konzumní tříděná [ks],2018-10,1.75
Z  Vejce slepičí konzumní tříděná [ks],2018-11,1.781
Z  Vejce slepičí konzumní tříděná [ks],2018-12,1.824
Z  Vejce slepičí konzumní tříděná [ks],2019-01,1.821
Z  Vejce slepičí konzumní tříděná [ks],2019-02,1.723
Z  Vejce slepičí konzumní tříděná [ks],2019-03,1.773
Z  Vejce slepičí konzumní tříděná [ks],2019-04,1.783
Z  Vejce slepičí konzumní tříděná [ks],2019-05,1.7
Z  Vejce slepičí konzumní tříděná [ks],2019-06,1.683
Z  Vejce slepičí konzumní tříděná [ks],2019-07,1.601
Z  Vejce slepičí konzumní tříděná [ks],2019-08,1.59
Z  Vejce slepičí konzumní tříděná [ks],2019-09,1.643
Z  Vejce slepičí konzumní tříděná [ks],2019-10,1.753
Z  Vejce slepičí konzumní tříděná [ks],2019-11,1.849
Z  Vejce slepičí konzumní tříděná [ks],2019-12,1.938
Z  Vejce slepičí konzumní tříděná [ks],2020-01,1.864
Z  Vejce slepičí konzumní tříděná [ks],2020-02,1.86
Z  Vejce slepičí konzumní tříděná [ks],2020-03,1.881
Z  Vejce slepičí konzumní tříděná [ks],2020-04,1.867
Z  Vejce slepičí konzumní tříděná [ks],2020-05,1.8
Z  Vejce slepičí konzumní tříděná [ks],2020-06,1.754
Z  Vejce slepičí konzumní tříděná [ks],2020-07,1.781
Z  Vejce slepičí konzumní tříděná [ks],2020-08,1.71
Z  Vejce slepičí konzumní tříděná [ks],2020-09,1.708
Z  Vejce slepičí konzumní tříděná [ks],2020-10,1.752
Z  Vejce slepičí konzumní tříděná [ks],2020-11,1.826
Z  Vejce slepičí konzumní tříděná [ks],2020-12,1.876
Z  Vejce slepičí konzumní tříděná [ks],2021-01,1.906
Z  Vejce slepičí konzumní tříděná [ks],2021-02,1.892
Z  Vejce slepičí konzumní tříděná [ks],2021-03,1.906
Z  Vejce slepičí konzumní tříděná [ks],2021-04,1.911
Z  Vejce slepičí konzumní tříděná [ks],2021-05,1.912
Z  Vejce slepičí konzumní tříděná [ks],2021-06,1.845
Z  Vejce slepičí konzumní tříděná [ks],2021-07,1.719
Z  Vejce slepičí konzumní tříděná [ks],2021-08,1.689
Z  Vejce slepičí konzumní tříděná [ks],2021-09,1.728
Z  Vejce slepičí konzumní tříděná [ks],2021-10,1.837
Z  Vejce slepičí konzumní tříděná [ks],2021-11,1.898
Z  Vejce slepičí konzumní tříděná [ks],2021-12,1.9
Z  Vejce slepičí konzumní tříděná [ks],2022-01,1.94
Z  Vejce slepičí konzumní tříděná [ks],2022-02,1.99
Z  Vejce slepičí konzumní tříděná [ks],2022-03,2.04
Z  Vejce slepičí konzumní tříděná [ks],2022-04,2.22
Z  Vejce slepičí konzumní tříděná [ks],2022-05,2.25
Z  Vejce slepičí konzumní tříděná [ks],2022-06,2.27
Z  Vejce slepičí konzumní tříděná [ks],2022-07,2.21
Z  Vejce slepičí konzumní tříděná [ks],2022-08,2.2
Z  Vejce slepičí konzumní tříděná [ks],2022-09,2.36
Z  Vejce slepičí konzumní tříděná [ks],2022-10,2.61
Z  Vejce slepičí konzumní tříděná [ks],2022-11,3.01
Z  Vejce slepičí konzumní tříděná [ks],2022-12,3.29
Z  Vejce slepičí konzumní tříděná [ks],2023-01,3.55
Z  Vejce slepičí konzumní tříděná [ks],2023-02,3.69
Z  Vejce slepičí konzumní tříděná [ks],2023-03,3.69
Z  Vejce slepičí konzumní tříděná [ks],2023-04,3.48
Z  Vejce slepičí konzumní tříděná [ks],2023-05,3.12
Z  Vejce slepičí konzumní tříděná [ks],2023-06,2.97
Z  Vejce slepičí konzumní tříděná [ks],2023-07,2.82
Z  Vejce slepičí konzumní tříděná [ks],2023-08,2.62
Z  Vejce slepičí konzumní tříděná [ks],2023-09,2.62
Z  Vejce slepičí konzumní tříděná [ks],2023-10,2.63
Z  Vejce slepičí konzumní tříděná [ks],2023-11,2.62
Z  Vejce slepičí konzumní tříděná [ks],2023-12,2.7
Z  Vejce slepičí konzumní tříděná [ks],2024-01,2.76
Z  Vejce slepičí konzumní tříděná [ks],2024-02,2.69
Z  Vejce slepičí konzumní tříděná [ks],2024-03,2.74
Z  Vejce slepičí konzumní tříděná [ks],2024-04,2.76
Z  Vejce slepičí konzumní tříděná [ks],2024-05,2.58
Z  Vejce slepičí konzumní tříděná [ks],2024-06,2.45
Z  Vejce slepičí konzumní tříděná [ks],2024-07,2.31
Z  Vejce slepičí konzumní tříděná [ks],2024-08,2.27
Z  Vejce slepičí konzumní tříděná [ks],2024-09,2.34
Z  Vejce slepičí konzumní tříděná [ks],2024-10,2.4
Z  Vejce slepičí konzumní tříděná [ks],2024-11,2.93
Z  Vejce slepičí konzumní tříděná [ks],2024-12,3.43
Z  Vejce slepičí konzumní tříděná [ks],2025-01,3.43
Z  Vejce slepičí konzumní tříděná [ks],2025-02,3.29
Z  Vejce slepičí konzumní tříděná [ks],2025-03,3.52
Z  Vejce slepičí konzumní tříděná [ks],2025-04,3.94
Z  Vejce slepičí konzumní tříděná [ks],2025-05,3.7
Z  Vejce slepičí konzumní tříděná [ks],2025-06,3.41
Z  Vejce slepičí konzumní tříděná [ks],2025-07,3.3
Z  Vejce slepičí konzumní tříděná [ks],2025-08,3.29
Z  Vejce slepičí konzumní tříděná [ks],2025-09,3.34
Z  Vejce slepičí konzumní tříděná [ks],2025-10,3.56
S  Vejce slepičí čerstvá [ks],2013-01,3.55
S  Vejce slepičí čerstvá [ks],2013-02,3.55
S  Vejce slepičí čerstvá [ks],2013-03,3.54
S  Vejce slepičí čerstvá [ks],2013-04,3.31
S  Vejce slepičí čerstvá [ks],2013-05,3.01
S  Vejce slepičí čerstvá [ks],2013-06,2.82
S  Vejce slepičí čerstvá [ks],2013-07,2.71
S  Vejce slepičí čerstvá [ks],2013-08,2.68
S  Vejce slepičí čerstvá [ks],2013-09,2.66
S  Vejce slepičí čerstvá [ks],2013-10,2.73
S  Vejce slepičí čerstvá [ks],2013-11,2.87
S  Vejce slepičí čerstvá [ks],2013-12,2.95
S  Vejce slepičí čerstvá [ks],2014-01,3.02
S  Vejce slepičí čerstvá [ks],2014-02,3
S  Vejce slepičí čerstvá [ks],2014-03,3.06
S  Vejce slepičí čerstvá [ks],2014-04,2.93
S  Vejce slepičí čerstvá [ks],2014-05,3.02
S  Vejce slepičí čerstvá [ks],2014-06,3.03
S  Vejce slepičí čerstvá [ks],2014-07,2.98
S  Vejce slepičí čerstvá [ks],2014-08,3.07
S  Vejce slepičí čerstvá [ks],2014-09,3.01
S  Vejce slepičí čerstvá [ks],2014-10,3.16
S  Vejce slepičí čerstvá [ks],2014-11,3.34
S  Vejce slepičí čerstvá [ks],2014-12,3.3
S  Vejce slepičí čerstvá [ks],2015-01,3.34
S  Vejce slepičí čerstvá [ks],2015-02,3.27
S  Vejce slepičí čerstvá [ks],2015-03,3.36
S  Vejce slepičí čerstvá [ks],2015-04,3.23
S  Vejce slepičí čerstvá [ks],2015-05,3.33
S  Vejce slepičí čerstvá [ks],2015-06,3.11
S  Vejce slepičí čerstvá [ks],2015-07,3.12
S  Vejce slepičí čerstvá [ks],2015-08,2.9
S  Vejce slepičí čerstvá [ks],2015-09,2.89
S  Vejce slepičí čerstvá [ks],2015-10,2.91
S  Vejce slepičí čerstvá [ks],2015-11,2.98
S  Vejce slepičí čerstvá [ks],2015-12,2.96
S  Vejce slepičí čerstvá [ks],2016-01,2.98
S  Vejce slepičí čerstvá [ks],2016-02,2.95
S  Vejce slepičí čerstvá [ks],2016-03,2.86
S  Vejce slepičí čerstvá [ks],2016-04,2.89
S  Vejce slepičí čerstvá [ks],2016-05,2.86
S  Vejce slepičí čerstvá [ks],2016-06,2.67
S  Vejce slepičí čerstvá [ks],2016-07,2.75
S  Vejce slepičí čerstvá [ks],2016-08,2.494
S  Vejce slepičí čerstvá [ks],2016-09,2.58
S  Vejce slepičí čerstvá [ks],2016-10,2.69
S  Vejce slepičí čerstvá [ks],2016-11,3.16
S  Vejce slepičí čerstvá [ks],2016-12,3.29
S  Vejce slepičí čerstvá [ks],2017-01,3.41
S  Vejce slepičí čerstvá [ks],2017-02,3.38
S  Vejce slepičí čerstvá [ks],2017-03,3.29
S  Vejce slepičí čerstvá [ks],2017-04,3.36
S  Vejce slepičí čerstvá [ks],2017-05,3.27
S  Vejce slepičí čerstvá [ks],2017-06,3.25
S  Vejce slepičí čerstvá [ks],2017-07,3.42
S  Vejce slepičí čerstvá [ks],2017-08,3.29
S  Vejce slepičí čerstvá [ks],2017-09,3.22
S  Vejce slepičí čerstvá [ks],2017-10,3.62
S  Vejce slepičí čerstvá [ks],2017-11,5
S  Vejce slepičí čerstvá [ks],2017-12,5
S  Vejce slepičí čerstvá [ks],2018-01,4.65
S  Vejce slepičí čerstvá [ks],2018-02,4.19
S  Vejce slepičí čerstvá [ks],2018-03,3.78
S  Vejce slepičí čerstvá [ks],2018-04,3.8
S  Vejce slepičí čerstvá [ks],2018-05,3.7
S  Vejce slepičí čerstvá [ks],2018-06,3.88
S  Vejce slepičí čerstvá [ks],2018-07,3.7
S  Vejce slepičí čerstvá [ks],2018-08,3.63
S  Vejce slepičí čerstvá [ks],2018-09,3.8
S  Vejce slepičí čerstvá [ks],2018-10,3.6
S  Vejce slepičí čerstvá [ks],2018-11,3.72
S  Vejce slepičí čerstvá [ks],2018-12,3.61
S  Vejce slepičí čerstvá [ks],2019-01,3.38
S  Vejce slepičí čerstvá [ks],2019-02,3.35
S  Vejce slepičí čerstvá [ks],2019-03,3.23
S  Vejce slepičí čerstvá [ks],2019-04,3.17
S  Vejce slepičí čerstvá [ks],2019-05,3.17
S  Vejce slepičí čerstvá [ks],2019-06,3.06
S  Vejce slepičí čerstvá [ks],2019-07,2.99
S  Vejce slepičí čerstvá [ks],2019-08,2.98
S  Vejce slepičí čerstvá [ks],2019-09,3.02
S  Vejce slepičí čerstvá [ks],2019-10,3.04
S  Vejce slepičí čerstvá [ks],2019-11,3.14
S  Vejce slepičí čerstvá [ks],2019-12,3.15
S  Vejce slepičí čerstvá [ks],2020-01,3.09
S  Vejce slepičí čerstvá [ks],2020-02,2.98
S  Vejce slepičí čerstvá [ks],2020-03,2.96
S  Vejce slepičí čerstvá [ks],2020-04,2.87
S  Vejce slepičí čerstvá [ks],2020-05,3.01
S  Vejce slepičí čerstvá [ks],2020-06,2.97
S  Vejce slepičí čerstvá [ks],2020-07,2.95
S  Vejce slepičí čerstvá [ks],2020-08,2.88
S  Vejce slepičí čerstvá [ks],2020-09,2.68
S  Vejce slepičí čerstvá [ks],2020-10,2.54
S  Vejce slepičí čerstvá [ks],2020-11,2.77
S  Vejce slepičí čerstvá [ks],2020-12,2.7
S  Vejce slepičí čerstvá [ks],2021-01,2.72
S  Vejce slepičí čerstvá [ks],2021-02,2.44
S  Vejce slepičí čerstvá [ks],2021-03,2.56
S  Vejce slepičí čerstvá [ks],2021-04,2.44
S  Vejce slepičí čerstvá [ks],2021-05,2.37
S  Vejce slepičí čerstvá [ks],2021-06,2.7
S  Vejce slepičí čerstvá [ks],2021-07,2.52
S  Vejce slepičí čerstvá [ks],2021-08,2.69
S  Vejce slepičí čerstvá [ks],2021-09,2.48
S  Vejce slepičí čerstvá [ks],2021-10,2.64
S  Vejce slepičí čerstvá [ks],2021-11,2.6
S  Vejce slepičí čerstvá [ks],2021-12,2.53
S  Vejce slepičí čerstvá [ks],2022-01,2.94
S  Vejce slepičí čerstvá [ks],2022-02,2.82
S  Vejce slepičí čerstvá [ks],2022-03,2.94
S  Vejce slepičí čerstvá [ks],2022-04,3.01
S  Vejce slepičí čerstvá [ks],2022-05,3.34
S  Vejce slepičí čerstvá [ks],2022-06,3.45
S  Vejce slepičí čerstvá [ks],2022-07,3.37
S  Vejce slepičí čerstvá [ks],2022-08,3.59
S  Vejce slepičí čerstvá [ks],2022-09,3.55
S  Vejce slepičí čerstvá [ks],2022-10,4.5
S  Vejce slepičí čerstvá [ks],2022-11,4.89
S  Vejce slepičí čerstvá [ks],2022-12,5.1
S  Vejce slepičí čerstvá [ks],2023-01,5.65
S  Vejce slepičí čerstvá [ks],2023-02,5.63
S  Vejce slepičí čerstvá [ks],2023-03,5.04
S  Vejce slepičí čerstvá [ks],2023-04,4.34
S  Vejce slepičí čerstvá [ks],2023-05,4.68
S  Vejce slepičí čerstvá [ks],2023-06,4.7
S  Vejce slepičí čerstvá [ks],2023-07,4.55
S  Vejce slepičí čerstvá [ks],2023-08,4.14
S  Vejce slepičí čerstvá [ks],2023-09,3.73
S  Vejce slepičí čerstvá [ks],2023-10,4.04
S  Vejce slepičí čerstvá [ks],2023-11,3.62
S  Vejce slepičí čerstvá [ks],2023-12,3.71
S  Vejce slepičí čerstvá [ks],2024-01,4.03
S  Vejce slepičí čerstvá [ks],2024-02,3.78
S  Vejce slepičí čerstvá [ks],2024-03,3.61
S  Vejce slepičí čerstvá [ks],2024-04,3.58
S  Vejce slepičí čerstvá [ks],2024-05,3.47
S  Vejce slepičí čerstvá [ks],2024-06,3.37
S  Vejce slepičí čerstvá [ks],2024-07,3.57
S  Vejce slepičí čerstvá [ks],2024-08,3.24
S  Vejce slepičí čerstvá [ks],2024-09,3.48
S  Vejce slepičí čerstvá [ks],2024-10,3.69
S  Vejce slepičí čerstvá [ks],2024-11,4.76
S  Vejce slepičí čerstvá [ks],2024-12,4.8
S  Vejce slepičí čerstvá [ks],2025-01,4.8
S  Vejce slepičí čerstvá [ks],2025-02,4.87
S  Vejce slepičí čerstvá [ks],2025-03,5.21
S  Vejce slepičí čerstvá [ks],2025-04,4.97
S  Vejce slepičí čerstvá [ks],2025-05,5.11
S  Vejce slepičí čerstvá [ks],2025-06,4.99
S  Vejce slepičí čerstvá [ks],2025-07,4.58
S  Vejce slepičí čerstvá [ks],2025-08,4.63
S  Vejce slepičí čerstvá [ks],2025-09,4.64
S  Vejce slepičí čerstvá [ks],2025-10,4.81
Z  Pšenice potravinářská [kg],2013-01,6.033
Z  Pšenice potravinářská [kg],2013-02,6.116
Z  Pšenice potravinářská [kg],2013-03,6.117
Z  Pšenice potravinářská [kg],2013-04,6.019
Z  Pšenice potravinářská [kg],2013-05,5.972
Z  Pšenice potravinářská [kg],2013-06,5.847
Z  Pšenice potravinářská [kg],2013-07,5.656
Z  Pšenice potravinářská [kg],2013-08,4.424
Z  Pšenice potravinářská [kg],2013-09,4.216
Z  Pšenice potravinářská [kg],2013-10,4.273
Z  Pšenice potravinářská [kg],2013-11,4.343
Z  Pšenice potravinářská [kg],2013-12,4.436
Z  Pšenice potravinářská [kg],2014-01,4.555
Z  Pšenice potravinářská [kg],2014-02,4.585
Z  Pšenice potravinářská [kg],2014-03,4.599
Z  Pšenice potravinářská [kg],2014-04,4.671
Z  Pšenice potravinářská [kg],2014-05,4.778
Z  Pšenice potravinářská [kg],2014-06,4.789
Z  Pšenice potravinářská [kg],2014-07,4.608
Z  Pšenice potravinářská [kg],2014-08,4.353
Z  Pšenice potravinářská [kg],2014-09,4.335
Z  Pšenice potravinářská [kg],2014-10,4.197
Z  Pšenice potravinářská [kg],2014-11,4.159
Z  Pšenice potravinářská [kg],2014-12,4.163
Z  Pšenice potravinářská [kg],2015-01,4.24
Z  Pšenice potravinářská [kg],2015-02,4.412
Z  Pšenice potravinářská [kg],2015-03,4.445
Z  Pšenice potravinářská [kg],2015-04,4.454
Z  Pšenice potravinářská [kg],2015-05,4.423
Z  Pšenice potravinářská [kg],2015-06,4.382
Z  Pšenice potravinářská [kg],2015-07,4.33
Z  Pšenice potravinářská [kg],2015-08,4.286
Z  Pšenice potravinářská [kg],2015-09,4.258
Z  Pšenice potravinářská [kg],2015-10,4.213
Z  Pšenice potravinářská [kg],2015-11,4.208
Z  Pšenice potravinářská [kg],2015-12,4.205
Z  Pšenice potravinářská [kg],2016-01,4.131
Z  Pšenice potravinářská [kg],2016-02,4.061
Z  Pšenice potravinářská [kg],2016-03,3.912
Z  Pšenice potravinářská [kg],2016-04,3.711
Z  Pšenice potravinářská [kg],2016-05,3.614
Z  Pšenice potravinářská [kg],2016-06,3.631
Z  Pšenice potravinářská [kg],2016-07,3.589
Z  Pšenice potravinářská [kg],2016-08,3.539
Z  Pšenice potravinářská [kg],2016-09,3.548
Z  Pšenice potravinářská [kg],2016-10,3.563
Z  Pšenice potravinářská [kg],2016-11,3.55
Z  Pšenice potravinářská [kg],2016-12,3.59
Z  Pšenice potravinářská [kg],2017-01,3.594
Z  Pšenice potravinářská [kg],2017-02,3.673
Z  Pšenice potravinářská [kg],2017-03,3.774
Z  Pšenice potravinářská [kg],2017-04,3.814
Z  Pšenice potravinářská [kg],2017-05,3.853
Z  Pšenice potravinářská [kg],2017-06,3.881
Z  Pšenice potravinářská [kg],2017-07,3.884
Z  Pšenice potravinářská [kg],2017-08,3.847
Z  Pšenice potravinářská [kg],2017-09,3.829
Z  Pšenice potravinářská [kg],2017-10,3.918
Z  Pšenice potravinářská [kg],2017-11,3.899
Z  Pšenice potravinářská [kg],2017-12,3.877
Z  Pšenice potravinářská [kg],2018-01,3.858
Z  Pšenice potravinářská [kg],2018-02,3.86
Z  Pšenice potravinářská [kg],2018-03,3.874
Z  Pšenice potravinářská [kg],2018-04,3.9
Z  Pšenice potravinářská [kg],2018-05,3.912
Z  Pšenice potravinářská [kg],2018-06,3.922
Z  Pšenice potravinářská [kg],2018-07,3.917
Z  Pšenice potravinářská [kg],2018-08,4.05
Z  Pšenice potravinářská [kg],2018-09,4.347
Z  Pšenice potravinářská [kg],2018-10,4.47
Z  Pšenice potravinářská [kg],2018-11,4.479
Z  Pšenice potravinářská [kg],2018-12,4.559
Z  Pšenice potravinářská [kg],2019-01,4.6
Z  Pšenice potravinářská [kg],2019-02,4.661
Z  Pšenice potravinářská [kg],2019-03,4.707
Z  Pšenice potravinářská [kg],2019-04,4.614
Z  Pšenice potravinářská [kg],2019-05,4.588
Z  Pšenice potravinářská [kg],2019-06,4.525
Z  Pšenice potravinářská [kg],2019-07,4.363
Z  Pšenice potravinářská [kg],2019-08,4.09
Z  Pšenice potravinářská [kg],2019-09,4.089
Z  Pšenice potravinářská [kg],2019-10,3.982
Z  Pšenice potravinářská [kg],2019-11,3.978
Z  Pšenice potravinářská [kg],2019-12,3.949
Z  Pšenice potravinářská [kg],2020-01,3.969
Z  Pšenice potravinářská [kg],2020-02,4
Z  Pšenice potravinářská [kg],2020-03,4.066
Z  Pšenice potravinářská [kg],2020-04,4.123
Z  Pšenice potravinářská [kg],2020-05,4.252
Z  Pšenice potravinářská [kg],2020-06,4.344
Z  Pšenice potravinářská [kg],2020-07,4.221
Z  Pšenice potravinářská [kg],2020-08,4.129
Z  Pšenice potravinářská [kg],2020-09,4.119
Z  Pšenice potravinářská [kg],2020-10,4.2
Z  Pšenice potravinářská [kg],2020-11,4.272
Z  Pšenice potravinářská [kg],2020-12,4.374
Z  Pšenice potravinářská [kg],2021-01,4.486
Z  Pšenice potravinářská [kg],2021-02,4.623
Z  Pšenice potravinářská [kg],2021-03,4.809
Z  Pšenice potravinářská [kg],2021-04,4.916
Z  Pšenice potravinářská [kg],2021-05,4.959
Z  Pšenice potravinářská [kg],2021-06,4.95
Z  Pšenice potravinářská [kg],2021-07,4.997
Z  Pšenice potravinářská [kg],2021-08,4.821
Z  Pšenice potravinářská [kg],2021-09,4.982
Z  Pšenice potravinářská [kg],2021-10,5.249
Z  Pšenice potravinářská [kg],2021-11,5.605
Z  Pšenice potravinářská [kg],2021-12,5.883
Z  Pšenice potravinářská [kg],2022-01,6.13
Z  Pšenice potravinářská [kg],2022-02,6.32
Z  Pšenice potravinářská [kg],2022-03,6.89
Z  Pšenice potravinářská [kg],2022-04,7.65
Z  Pšenice potravinářská [kg],2022-05,8.33
Z  Pšenice potravinářská [kg],2022-06,8.65
Z  Pšenice potravinářská [kg],2022-07,8.27
Z  Pšenice potravinářská [kg],2022-08,7.82
Z  Pšenice potravinářská [kg],2022-09,7.75
Z  Pšenice potravinářská [kg],2022-10,7.82
Z  Pšenice potravinářská [kg],2022-11,7.91
Z  Pšenice potravinářská [kg],2022-12,7.72
Z  Pšenice potravinářská [kg],2023-01,7.53
Z  Pšenice potravinářská [kg],2023-02,7.22
Z  Pšenice potravinářská [kg],2023-03,6.79
Z  Pšenice potravinářská [kg],2023-04,6.3
Z  Pšenice potravinářská [kg],2023-05,5.77
Z  Pšenice potravinářská [kg],2023-06,5.63
Z  Pšenice potravinářská [kg],2023-07,5.4
Z  Pšenice potravinářská [kg],2023-08,5.05
Z  Pšenice potravinářská [kg],2023-09,5.09
Z  Pšenice potravinářská [kg],2023-10,5.09
Z  Pšenice potravinářská [kg],2023-11,5.14
Z  Pšenice potravinářská [kg],2023-12,4.9
Z  Pšenice potravinářská [kg],2024-01,4.8
Z  Pšenice potravinářská [kg],2024-02,4.81
Z  Pšenice potravinářská [kg],2024-03,4.68
Z  Pšenice potravinářská [kg],2024-04,4.71
Z  Pšenice potravinářská [kg],2024-05,4.53
Z  Pšenice potravinářská [kg],2024-06,4.5
Z  Pšenice potravinářská [kg],2024-07,4.6
Z  Pšenice potravinářská [kg],2024-08,4.78
Z  Pšenice potravinářská [kg],2024-09,4.79
Z  Pšenice potravinářská [kg],2024-10,4.96
Z  Pšenice potravinářská [kg],2024-11,5.01
Z  Pšenice potravinářská [kg],2024-12,5.08
Z  Pšenice potravinářská [kg],2025-01,5.23
Z  Pšenice potravinářská [kg],2025-02,5.28
Z  Pšenice potravinářská [kg],2025-03,5.39
Z  Pšenice potravinářská [kg],2025-04,5.38
Z  Pšenice potravinářská [kg],2025-05,5.33
Z  Pšenice potravinářská [kg],2025-06,5.38
Z  Pšenice potravinářská [kg],2025-07,5.25
Z  Pšenice potravinářská [kg],2025-08,4.89
Z  Pšenice potravinářská [kg],2025-09,4.68
Z  Pšenice potravinářská [kg],2025-10,4.55
P  Pšeničná mouka hladká 00 extra [kg],2013-01,9.34326
P  Pšeničná mouka hladká 00 extra [kg],2013-02,9.48771
P  Pšeničná mouka hladká 00 extra [kg],2013-03,9.35757
P  Pšeničná mouka hladká 00 extra [kg],2013-04,9.5776
P  Pšeničná mouka hladká 00 extra [kg],2013-05,9.31945
P  Pšeničná mouka hladká 00 extra [kg],2013-06,9.34208
P  Pšeničná mouka hladká 00 extra [kg],2013-07,9.44983
P  Pšeničná mouka hladká 00 extra [kg],2013-08,9.34266
P  Pšeničná mouka hladká 00 extra [kg],2013-09,8.46197
P  Pšeničná mouka hladká 00 extra [kg],2013-10,8.24553
P  Pšeničná mouka hladká 00 extra [kg],2013-11,8.34089
P  Pšeničná mouka hladká 00 extra [kg],2013-12,8.12958
P  Pšeničná mouka hladká 00 extra [kg],2014-01,8.14028
P  Pšeničná mouka hladká 00 extra [kg],2014-02,8.3088
P  Pšeničná mouka hladká 00 extra [kg],2014-03,8.064
P  Pšeničná mouka hladká 00 extra [kg],2014-04,8.21733
P  Pšeničná mouka hladká 00 extra [kg],2014-05,8.34465
P  Pšeničná mouka hladká 00 extra [kg],2014-06,7.94541
P  Pšeničná mouka hladká 00 extra [kg],2014-07,8.19924
