Ukazatel,CasM,Hodnota
P  Pšeničná mouka hladká 00 extra [kg],2014-08,8.06446
P  Pšeničná mouka hladká 00 extra [kg],2014-09,8.28437
P  Pšeničná mouka hladká 00 extra [kg],2014-10,8.27479
P  Pšeničná mouka hladká 00 extra [kg],2014-11,7.92813
P  Pšeničná mouka hladká 00 extra [kg],2014-12,8.18179
P  Pšeničná mouka hladká 00 extra [kg],2015-01,8.34868
P  Pšeničná mouka hladká 00 extra [kg],2015-02,8.02055
P  Pšeničná mouka hladká 00 extra [kg],2015-03,8.28019
P  Pšeničná mouka hladká 00 extra [kg],2015-04,8.0032
P  Pšeničná mouka hladká 00 extra [kg],2015-05,7.98848
P  Pšeničná mouka hladká 00 extra [kg],2015-06,7.84209
P  Pšeničná mouka hladká 00 extra [kg],2015-07,7.92288
P  Pšeničná mouka hladká 00 extra [kg],2015-08,7.75612
P  Pšeničná mouka hladká 00 extra [kg],2015-09,7.96615
P  Pšeničná mouka hladká 00 extra [kg],2015-10,7.76435
P  Pšeničná mouka hladká 00 extra [kg],2015-11,7.44595
P  Pšeničná mouka hladká 00 extra [kg],2015-12,7.3032
P  Pšeničná mouka hladká 00 extra [kg],2016-01,7.52769
P  Pšeničná mouka hladká 00 extra [kg],2016-02,7.40873
P  Pšeničná mouka hladká 00 extra [kg],2016-03,7.54051
P  Pšeničná mouka hladká 00 extra [kg],2016-04,7.35386
P  Pšeničná mouka hladká 00 extra [kg],2016-05,7.43735
P  Pšeničná mouka hladká 00 extra [kg],2016-06,7.34578
P  Pšeničná mouka hladká 00 extra [kg],2016-07,7.23619
P  Pšeničná mouka hladká 00 extra [kg],2016-08,7.24617
P  Pšeničná mouka hladká 00 extra [kg],2016-09,7.12845
P  Pšeničná mouka hladká 00 extra [kg],2016-10,7.14333
P  Pšeničná mouka hladká 00 extra [kg],2016-11,7.18721
P  Pšeničná mouka hladká 00 extra [kg],2016-12,7.03661
P  Pšeničná mouka hladká 00 extra [kg],2017-01,7.04483
P  Pšeničná mouka hladká 00 extra [kg],2017-02,7.13985
P  Pšeničná mouka hladká 00 extra [kg],2017-03,6.90635
P  Pšeničná mouka hladká 00 extra [kg],2017-04,7.02251
P  Pšeničná mouka hladká 00 extra [kg],2017-05,7.02822
P  Pšeničná mouka hladká 00 extra [kg],2017-06,6.98791
P  Pšeničná mouka hladká 00 extra [kg],2017-07,7.0461
P  Pšeničná mouka hladká 00 extra [kg],2017-08,6.99048
P  Pšeničná mouka hladká 00 extra [kg],2017-09,7.05365
P  Pšeničná mouka hladká 00 extra [kg],2017-10,6.97195
P  Pšeničná mouka hladká 00 extra [kg],2017-11,7.03917
P  Pšeničná mouka hladká 00 extra [kg],2017-12,7.12022
P  Pšeničná mouka hladká 00 extra [kg],2018-01,7.09011
P  Pšeničná mouka hladká 00 extra [kg],2018-02,7.12259
P  Pšeničná mouka hladká 00 extra [kg],2018-03,7.04637
P  Pšeničná mouka hladká 00 extra [kg],2018-04,7.01735
P  Pšeničná mouka hladká 00 extra [kg],2018-05,7.07177
P  Pšeničná mouka hladká 00 extra [kg],2018-06,6.97155
P  Pšeničná mouka hladká 00 extra [kg],2018-07,6.97553
P  Pšeničná mouka hladká 00 extra [kg],2018-08,7.00099
P  Pšeničná mouka hladká 00 extra [kg],2018-09,6.98701
P  Pšeničná mouka hladká 00 extra [kg],2018-10,7.22
P  Pšeničná mouka hladká 00 extra [kg],2018-11,7.28
P  Pšeničná mouka hladká 00 extra [kg],2018-12,7.45
P  Pšeničná mouka hladká 00 extra [kg],2019-01,7.54
P  Pšeničná mouka hladká 00 extra [kg],2019-02,7.66
P  Pšeničná mouka hladká 00 extra [kg],2019-03,7.69
P  Pšeničná mouka hladká 00 extra [kg],2019-04,7.62
P  Pšeničná mouka hladká 00 extra [kg],2019-05,7.6
P  Pšeničná mouka hladká 00 extra [kg],2019-06,7.67
P  Pšeničná mouka hladká 00 extra [kg],2019-07,7.49
P  Pšeničná mouka hladká 00 extra [kg],2019-08,7.48
P  Pšeničná mouka hladká 00 extra [kg],2019-09,7.52
P  Pšeničná mouka hladká 00 extra [kg],2019-10,7.4
P  Pšeničná mouka hladká 00 extra [kg],2019-11,7.46
P  Pšeničná mouka hladká 00 extra [kg],2019-12,7.45
P  Pšeničná mouka hladká 00 extra [kg],2020-01,7.5
P  Pšeničná mouka hladká 00 extra [kg],2020-02,7.47
P  Pšeničná mouka hladká 00 extra [kg],2020-03,7.41
P  Pšeničná mouka hladká 00 extra [kg],2020-04,7.46
P  Pšeničná mouka hladká 00 extra [kg],2020-05,7.47
P  Pšeničná mouka hladká 00 extra [kg],2020-06,7.42
P  Pšeničná mouka hladká 00 extra [kg],2020-07,7.43
P  Pšeničná mouka hladká 00 extra [kg],2020-08,7.37
P  Pšeničná mouka hladká 00 extra [kg],2020-09,7.36
P  Pšeničná mouka hladká 00 extra [kg],2020-10,7.29
P  Pšeničná mouka hladká 00 extra [kg],2020-11,7.3
P  Pšeničná mouka hladká 00 extra [kg],2020-12,7.25
P  Pšeničná mouka hladká 00 extra [kg],2021-01,7.51
P  Pšeničná mouka hladká 00 extra [kg],2021-02,7.47
P  Pšeničná mouka hladká 00 extra [kg],2021-03,7.46
P  Pšeničná mouka hladká 00 extra [kg],2021-04,7.55
P  Pšeničná mouka hladká 00 extra [kg],2021-05,7.64
P  Pšeničná mouka hladká 00 extra [kg],2021-06,7.66
P  Pšeničná mouka hladká 00 extra [kg],2021-07,7.69
P  Pšeničná mouka hladká 00 extra [kg],2021-08,7.68
P  Pšeničná mouka hladká 00 extra [kg],2021-09,7.56
P  Pšeničná mouka hladká 00 extra [kg],2021-10,7.7
P  Pšeničná mouka hladká 00 extra [kg],2021-11,8.03
P  Pšeničná mouka hladká 00 extra [kg],2021-12,8.28
P  Pšeničná mouka hladká 00 extra [kg],2022-01,8.63
P  Pšeničná mouka hladká 00 extra [kg],2022-02,9.05
P  Pšeničná mouka hladká 00 extra [kg],2022-03,9.47
P  Pšeničná mouka hladká 00 extra [kg],2022-04,10.24
P  Pšeničná mouka hladká 00 extra [kg],2022-05,11.1
P  Pšeničná mouka hladká 00 extra [kg],2022-06,11.43
P  Pšeničná mouka hladká 00 extra [kg],2022-07,11.74
P  Pšeničná mouka hladká 00 extra [kg],2022-08,11.86
P  Pšeničná mouka hladká 00 extra [kg],2022-09,12.14
P  Pšeničná mouka hladká 00 extra [kg],2022-10,12.34
P  Pšeničná mouka hladká 00 extra [kg],2022-11,13.13
P  Pšeničná mouka hladká 00 extra [kg],2022-12,13.36
P  Pšeničná mouka hladká 00 extra [kg],2023-01,13.14
P  Pšeničná mouka hladká 00 extra [kg],2023-02,13.26
P  Pšeničná mouka hladká 00 extra [kg],2023-03,13.57
P  Pšeničná mouka hladká 00 extra [kg],2023-04,13.57
P  Pšeničná mouka hladká 00 extra [kg],2023-05,13.34
P  Pšeničná mouka hladká 00 extra [kg],2023-06,13.17
P  Pšeničná mouka hladká 00 extra [kg],2023-07,13.12
P  Pšeničná mouka hladká 00 extra [kg],2023-08,12.96
P  Pšeničná mouka hladká 00 extra [kg],2023-09,12.64
P  Pšeničná mouka hladká 00 extra [kg],2023-10,12.2
P  Pšeničná mouka hladká 00 extra [kg],2023-11,11.88
P  Pšeničná mouka hladká 00 extra [kg],2023-12,11.67
P  Pšeničná mouka hladká 00 extra [kg],2024-01,11.52
P  Pšeničná mouka hladká 00 extra [kg],2024-02,11.47
P  Pšeničná mouka hladká 00 extra [kg],2024-03,11.41
P  Pšeničná mouka hladká 00 extra [kg],2024-04,11.21
P  Pšeničná mouka hladká 00 extra [kg],2024-05,10.89
P  Pšeničná mouka hladká 00 extra [kg],2024-06,10.81
P  Pšeničná mouka hladká 00 extra [kg],2024-07,10.66
P  Pšeničná mouka hladká 00 extra [kg],2024-08,10.77
P  Pšeničná mouka hladká 00 extra [kg],2024-09,10.66
P  Pšeničná mouka hladká 00 extra [kg],2024-10,10.72
P  Pšeničná mouka hladká 00 extra [kg],2024-11,10.5
P  Pšeničná mouka hladká 00 extra [kg],2024-12,10.36
P  Pšeničná mouka hladká 00 extra [kg],2025-01,10.44
P  Pšeničná mouka hladká 00 extra [kg],2025-02,10.53
P  Pšeničná mouka hladká 00 extra [kg],2025-03,10.56
P  Pšeničná mouka hladká 00 extra [kg],2025-04,10.49
P  Pšeničná mouka hladká 00 extra [kg],2025-05,10.41
P  Pšeničná mouka hladká 00 extra [kg],2025-06,10.45
P  Pšeničná mouka hladká 00 extra [kg],2025-07,10.44
P  Pšeničná mouka hladká 00 extra [kg],2025-08,10.44
P  Pšeničná mouka hladká 00 extra [kg],2025-09,10.49
P  Pšeničná mouka hladká 00 extra [kg],2025-10,10.42
P  Pšeničná mouka chlebová [kg],2013-01,7.79982
P  Pšeničná mouka chlebová [kg],2013-02,8.24306
P  Pšeničná mouka chlebová [kg],2013-03,8.26663
P  Pšeničná mouka chlebová [kg],2013-04,8.24453
P  Pšeničná mouka chlebová [kg],2013-05,8.1563
P  Pšeničná mouka chlebová [kg],2013-06,8.05336
P  Pšeničná mouka chlebová [kg],2013-07,8.05348
P  Pšeničná mouka chlebová [kg],2013-08,7.87515
P  Pšeničná mouka chlebová [kg],2013-09,7.62188
P  Pšeničná mouka chlebová [kg],2013-10,7.23829
P  Pšeničná mouka chlebová [kg],2013-11,7.07147
P  Pšeničná mouka chlebová [kg],2013-12,7.10673
P  Pšeničná mouka chlebová [kg],2014-01,7.09581
P  Pšeničná mouka chlebová [kg],2014-02,6.76319
P  Pšeničná mouka chlebová [kg],2014-03,6.73299
P  Pšeničná mouka chlebová [kg],2014-04,6.70632
P  Pšeničná mouka chlebová [kg],2014-05,6.77538
P  Pšeničná mouka chlebová [kg],2014-06,6.82326
P  Pšeničná mouka chlebová [kg],2014-07,6.82
P  Pšeničná mouka chlebová [kg],2014-08,6.63254
P  Pšeničná mouka chlebová [kg],2014-09,6.47465
P  Pšeničná mouka chlebová [kg],2014-10,6.38498
P  Pšeničná mouka chlebová [kg],2014-11,6.32933
P  Pšeničná mouka chlebová [kg],2014-12,6.25729
P  Pšeničná mouka chlebová [kg],2015-01,6.21058
P  Pšeničná mouka chlebová [kg],2015-02,6.33791
P  Pšeničná mouka chlebová [kg],2015-03,6.40486
P  Pšeničná mouka chlebová [kg],2015-04,6.364
P  Pšeničná mouka chlebová [kg],2015-05,6.34769
P  Pšeničná mouka chlebová [kg],2015-06,6.40859
P  Pšeničná mouka chlebová [kg],2015-07,6.32489
P  Pšeničná mouka chlebová [kg],2015-08,6.31502
P  Pšeničná mouka chlebová [kg],2015-09,6.39077
P  Pšeničná mouka chlebová [kg],2015-10,6.20849
P  Pšeničná mouka chlebová [kg],2015-11,6.08801
P  Pšeničná mouka chlebová [kg],2015-12,6.19127
P  Pšeničná mouka chlebová [kg],2016-01,6.16106
P  Pšeničná mouka chlebová [kg],2016-02,6.05931
P  Pšeničná mouka chlebová [kg],2016-03,6.02939
P  Pšeničná mouka chlebová [kg],2016-04,5.89955
P  Pšeničná mouka chlebová [kg],2016-05,5.84654
P  Pšeničná mouka chlebová [kg],2016-06,5.80758
P  Pšeničná mouka chlebová [kg],2016-07,5.87455
P  Pšeničná mouka chlebová [kg],2016-08,5.91473
P  Pšeničná mouka chlebová [kg],2016-09,5.8636
P  Pšeničná mouka chlebová [kg],2016-10,5.81051
P  Pšeničná mouka chlebová [kg],2016-11,5.71496
P  Pšeničná mouka chlebová [kg],2016-12,5.6636
P  Pšeničná mouka chlebová [kg],2017-01,5.61817
P  Pšeničná mouka chlebová [kg],2017-02,5.62025
P  Pšeničná mouka chlebová [kg],2017-03,5.65634
P  Pšeničná mouka chlebová [kg],2017-04,5.65833
P  Pšeničná mouka chlebová [kg],2017-05,5.67561
P  Pšeničná mouka chlebová [kg],2017-06,5.6405
P  Pšeničná mouka chlebová [kg],2017-07,5.64611
P  Pšeničná mouka chlebová [kg],2017-08,5.63271
P  Pšeničná mouka chlebová [kg],2017-09,5.64535
P  Pšeničná mouka chlebová [kg],2017-10,5.59869
P  Pšeničná mouka chlebová [kg],2017-11,5.6676
P  Pšeničná mouka chlebová [kg],2017-12,5.69418
P  Pšeničná mouka chlebová [kg],2018-01,5.70231
P  Pšeničná mouka chlebová [kg],2018-02,5.69851
P  Pšeničná mouka chlebová [kg],2018-03,5.70143
P  Pšeničná mouka chlebová [kg],2018-04,5.67759
P  Pšeničná mouka chlebová [kg],2018-05,5.68
P  Pšeničná mouka chlebová [kg],2018-06,5.69399
P  Pšeničná mouka chlebová [kg],2018-07,5.755
P  Pšeničná mouka chlebová [kg],2018-08,5.86143
P  Pšeničná mouka chlebová [kg],2018-09,5.95186
P  Pšeničná mouka chlebová [kg],2018-10,6.36
P  Pšeničná mouka chlebová [kg],2018-11,6.49
P  Pšeničná mouka chlebová [kg],2018-12,6.51
P  Pšeničná mouka chlebová [kg],2019-01,6.48
P  Pšeničná mouka chlebová [kg],2019-02,6.55
P  Pšeničná mouka chlebová [kg],2019-03,6.57
P  Pšeničná mouka chlebová [kg],2019-04,6.47
P  Pšeničná mouka chlebová [kg],2019-05,6.47
P  Pšeničná mouka chlebová [kg],2019-06,6.47
P  Pšeničná mouka chlebová [kg],2019-07,6.42
P  Pšeničná mouka chlebová [kg],2019-08,6.41
P  Pšeničná mouka chlebová [kg],2019-09,6.25
P  Pšeničná mouka chlebová [kg],2019-10,6.01
P  Pšeničná mouka chlebová [kg],2019-11,5.83
P  Pšeničná mouka chlebová [kg],2019-12,5.7
P  Pšeničná mouka chlebová [kg],2020-01,5.59
P  Pšeničná mouka chlebová [kg],2020-02,5.49
P  Pšeničná mouka chlebová [kg],2020-03,5.39
P  Pšeničná mouka chlebová [kg],2020-04,5.41
P  Pšeničná mouka chlebová [kg],2020-05,5.42
P  Pšeničná mouka chlebová [kg],2020-06,5.54
P  Pšeničná mouka chlebová [kg],2020-07,5.54
P  Pšeničná mouka chlebová [kg],2020-08,5.57
P  Pšeničná mouka chlebová [kg],2020-09,5.55
P  Pšeničná mouka chlebová [kg],2020-10,5.53
P  Pšeničná mouka chlebová [kg],2020-11,5.59
P  Pšeničná mouka chlebová [kg],2020-12,5.66
P  Pšeničná mouka chlebová [kg],2021-01,5.82
P  Pšeničná mouka chlebová [kg],2021-02,5.89
P  Pšeničná mouka chlebová [kg],2021-03,6.23
P  Pšeničná mouka chlebová [kg],2021-04,6.35
P  Pšeničná mouka chlebová [kg],2021-05,6.4
P  Pšeničná mouka chlebová [kg],2021-06,6.62
P  Pšeničná mouka chlebová [kg],2021-07,6.65
P  Pšeničná mouka chlebová [kg],2021-08,6.68
P  Pšeničná mouka chlebová [kg],2021-09,6.65
P  Pšeničná mouka chlebová [kg],2021-10,6.91
P  Pšeničná mouka chlebová [kg],2021-11,7.12
P  Pšeničná mouka chlebová [kg],2021-12,7.32
P  Pšeničná mouka chlebová [kg],2022-01,7.76
P  Pšeničná mouka chlebová [kg],2022-02,8.29
P  Pšeničná mouka chlebová [kg],2022-03,8.83
P  Pšeničná mouka chlebová [kg],2022-04,9.76
P  Pšeničná mouka chlebová [kg],2022-05,10.83
P  Pšeničná mouka chlebová [kg],2022-06,11.34
P  Pšeničná mouka chlebová [kg],2022-07,11.49
P  Pšeničná mouka chlebová [kg],2022-08,11.35
P  Pšeničná mouka chlebová [kg],2022-09,11.7
P  Pšeničná mouka chlebová [kg],2022-10,11.84
P  Pšeničná mouka chlebová [kg],2022-11,11.53
P  Pšeničná mouka chlebová [kg],2022-12,11.41
P  Pšeničná mouka chlebová [kg],2023-01,10.82
P  Pšeničná mouka chlebová [kg],2023-02,10.65
P  Pšeničná mouka chlebová [kg],2023-03,10.42
P  Pšeničná mouka chlebová [kg],2023-04,10.28
P  Pšeničná mouka chlebová [kg],2023-05,9.25
P  Pšeničná mouka chlebová [kg],2023-06,8.89
P  Pšeničná mouka chlebová [kg],2023-07,8.8
P  Pšeničná mouka chlebová [kg],2023-08,8.69
P  Pšeničná mouka chlebová [kg],2023-09,8.36
P  Pšeničná mouka chlebová [kg],2023-10,8.04
P  Pšeničná mouka chlebová [kg],2023-11,8.21
P  Pšeničná mouka chlebová [kg],2023-12,7.98
P  Pšeničná mouka chlebová [kg],2024-01,8.02
P  Pšeničná mouka chlebová [kg],2024-02,7.92
P  Pšeničná mouka chlebová [kg],2024-03,7.61
P  Pšeničná mouka chlebová [kg],2024-04,7.55
P  Pšeničná mouka chlebová [kg],2024-05,7.47
P  Pšeničná mouka chlebová [kg],2024-06,7.24
P  Pšeničná mouka chlebová [kg],2024-07,7.24
P  Pšeničná mouka chlebová [kg],2024-08,7.18
P  Pšeničná mouka chlebová [kg],2024-09,7.2
P  Pšeničná mouka chlebová [kg],2024-10,7.2
P  Pšeničná mouka chlebová [kg],2024-11,7.3
P  Pšeničná mouka chlebová [kg],2024-12,7.25
P  Pšeničná mouka chlebová [kg],2025-01,7.3
P  Pšeničná mouka chlebová [kg],2025-02,7.31
P  Pšeničná mouka chlebová [kg],2025-03,7.51
P  Pšeničná mouka chlebová [kg],2025-04,7.61
P  Pšeničná mouka chlebová [kg],2025-05,7.72
P  Pšeničná mouka chlebová [kg],2025-06,7.74
P  Pšeničná mouka chlebová [kg],2025-07,7.78
P  Pšeničná mouka chlebová [kg],2025-08,7.83
P  Pšeničná mouka chlebová [kg],2025-09,7.83
P  Pšeničná mouka chlebová [kg],2025-10,7.86
S  Pšeničná mouka hladká [kg],2013-01,13.33
S  Pšeničná mouka hladká [kg],2013-02,13.36
S  Pšeničná mouka hladká [kg],2013-03,13.48
S  Pšeničná mouka hladká [kg],2013-04,13.6
S  Pšeničná mouka hladká [kg],2013-05,13.68
S  Pšeničná mouka hladká [kg],2013-06,13.52
S  Pšeničná mouka hladká [kg],2013-07,13.14
S  Pšeničná mouka hladká [kg],2013-08,13.73
S  Pšeničná mouka hladká [kg],2013-09,13.52
S  Pšeničná mouka hladká [kg],2013-10,13.32
S  Pšeničná mouka hladká [kg],2013-11,13.07
S  Pšeničná mouka hladká [kg],2013-12,12.71
S  Pšeničná mouka hladká [kg],2014-01,13.37
S  Pšeničná mouka hladká [kg],2014-02,13.14
S  Pšeničná mouka hladká [kg],2014-03,13.39
S  Pšeničná mouka hladká [kg],2014-04,13.22
S  Pšeničná mouka hladká [kg],2014-05,12.8
S  Pšeničná mouka hladká [kg],2014-06,13.4
S  Pšeničná mouka hladká [kg],2014-07,13.11
S  Pšeničná mouka hladká [kg],2014-08,13.31
S  Pšeničná mouka hladká [kg],2014-09,13.42
S  Pšeničná mouka hladká [kg],2014-10,13.25
S  Pšeničná mouka hladká [kg],2014-11,13.27
S  Pšeničná mouka hladká [kg],2014-12,12.47
S  Pšeničná mouka hladká [kg],2015-01,12.75
S  Pšeničná mouka hladká [kg],2015-02,13.25
S  Pšeničná mouka hladká [kg],2015-03,13.33
S  Pšeničná mouka hladká [kg],2015-04,13.27
S  Pšeničná mouka hladká [kg],2015-05,12.88
S  Pšeničná mouka hladká [kg],2015-06,13.47
S  Pšeničná mouka hladká [kg],2015-07,12.89
S  Pšeničná mouka hladká [kg],2015-08,12.62
S  Pšeničná mouka hladká [kg],2015-09,12.13
S  Pšeničná mouka hladká [kg],2015-10,12.36
S  Pšeničná mouka hladká [kg],2015-11,11.41
S  Pšeničná mouka hladká [kg],2015-12,11.3
S  Pšeničná mouka hladká [kg],2016-01,11.36
S  Pšeničná mouka hladká [kg],2016-02,10.91
S  Pšeničná mouka hladká [kg],2016-03,11.19
S  Pšeničná mouka hladká [kg],2016-04,11.48
S  Pšeničná mouka hladká [kg],2016-05,11.22
S  Pšeničná mouka hladká [kg],2016-06,11.48
S  Pšeničná mouka hladká [kg],2016-07,11.4
S  Pšeničná mouka hladká [kg],2016-08,10.73
S  Pšeničná mouka hladká [kg],2016-09,11.39
S  Pšeničná mouka hladká [kg],2016-10,11.02
S  Pšeničná mouka hladká [kg],2016-11,10.74
S  Pšeničná mouka hladká [kg],2016-12,10.22
S  Pšeničná mouka hladká [kg],2017-01,11.43
S  Pšeničná mouka hladká [kg],2017-02,11.71
S  Pšeničná mouka hladká [kg],2017-03,11.16
S  Pšeničná mouka hladká [kg],2017-04,10.99
S  Pšeničná mouka hladká [kg],2017-05,11.39
S  Pšeničná mouka hladká [kg],2017-06,11.07
S  Pšeničná mouka hladká [kg],2017-07,11.3
S  Pšeničná mouka hladká [kg],2017-08,11.31
S  Pšeničná mouka hladká [kg],2017-09,11.68
S  Pšeničná mouka hladká [kg],2017-10,12.04
S  Pšeničná mouka hladká [kg],2017-11,11.77
S  Pšeničná mouka hladká [kg],2017-12,11.69
S  Pšeničná mouka hladká [kg],2018-01,11.88
S  Pšeničná mouka hladká [kg],2018-02,12
S  Pšeničná mouka hladká [kg],2018-03,11.87
S  Pšeničná mouka hladká [kg],2018-04,12.04
S  Pšeničná mouka hladká [kg],2018-05,11.31
S  Pšeničná mouka hladká [kg],2018-06,10.89
S  Pšeničná mouka hladká [kg],2018-07,11.59
S  Pšeničná mouka hladká [kg],2018-08,11.25
S  Pšeničná mouka hladká [kg],2018-09,11.47
S  Pšeničná mouka hladká [kg],2018-10,11.22
S  Pšeničná mouka hladká [kg],2018-11,10.85
S  Pšeničná mouka hladká [kg],2018-12,11.07
S  Pšeničná mouka hladká [kg],2019-01,11.41
S  Pšeničná mouka hladká [kg],2019-02,12.23
S  Pšeničná mouka hladká [kg],2019-03,12.37
S  Pšeničná mouka hladká [kg],2019-04,11.19
S  Pšeničná mouka hladká [kg],2019-05,11.39
S  Pšeničná mouka hladká [kg],2019-06,11.62
S  Pšeničná mouka hladká [kg],2019-07,11.44
S  Pšeničná mouka hladká [kg],2019-08,11.97
S  Pšeničná mouka hladká [kg],2019-09,12.11
S  Pšeničná mouka hladká [kg],2019-10,11.66
S  Pšeničná mouka hladká [kg],2019-11,12.25
S  Pšeničná mouka hladká [kg],2019-12,11.77
S  Pšeničná mouka hladká [kg],2020-01,11.86
S  Pšeničná mouka hladká [kg],2020-02,11.94
S  Pšeničná mouka hladká [kg],2020-03,12.35
S  Pšeničná mouka hladká [kg],2020-04,12.97
S  Pšeničná mouka hladká [kg],2020-05,12.82
S  Pšeničná mouka hladká [kg],2020-06,12.72
S  Pšeničná mouka hladká [kg],2020-07,12.21
S  Pšeničná mouka hladká [kg],2020-08,12.61
S  Pšeničná mouka hladká [kg],2020-09,12.38
S  Pšeničná mouka hladká [kg],2020-10,11.99
S  Pšeničná mouka hladká [kg],2020-11,12.05
S  Pšeničná mouka hladká [kg],2020-12,12.16
S  Pšeničná mouka hladká [kg],2021-01,12.11
S  Pšeničná mouka hladká [kg],2021-02,12.02
S  Pšeničná mouka hladká [kg],2021-03,11.96
S  Pšeničná mouka hladká [kg],2021-04,12.62
S  Pšeničná mouka hladká [kg],2021-05,12.51
S  Pšeničná mouka hladká [kg],2021-06,12.69
S  Pšeničná mouka hladká [kg],2021-07,12.7
S  Pšeničná mouka hladká [kg],2021-08,12.62
S  Pšeničná mouka hladká [kg],2021-09,12.09
S  Pšeničná mouka hladká [kg],2021-10,12.41
S  Pšeničná mouka hladká [kg],2021-11,12.95
S  Pšeničná mouka hladká [kg],2021-12,14.41
S  Pšeničná mouka hladká [kg],2022-01,15
S  Pšeničná mouka hladká [kg],2022-02,15.96
S  Pšeničná mouka hladká [kg],2022-03,16.31
S  Pšeničná mouka hladká [kg],2022-04,20.59
S  Pšeničná mouka hladká [kg],2022-05,22.2
S  Pšeničná mouka hladká [kg],2022-06,22.72
S  Pšeničná mouka hladká [kg],2022-07,22.1
S  Pšeničná mouka hladká [kg],2022-08,22.21
S  Pšeničná mouka hladká [kg],2022-09,21.21
S  Pšeničná mouka hladká [kg],2022-10,20.49
S  Pšeničná mouka hladká [kg],2022-11,20.06
S  Pšeničná mouka hladká [kg],2022-12,21.6
S  Pšeničná mouka hladká [kg],2023-01,22.16
S  Pšeničná mouka hladká [kg],2023-02,21.86
S  Pšeničná mouka hladká [kg],2023-03,22.38
S  Pšeničná mouka hladká [kg],2023-04,22.1
S  Pšeničná mouka hladká [kg],2023-05,22.14
S  Pšeničná mouka hladká [kg],2023-06,20.54
S  Pšeničná mouka hladká [kg],2023-07,19.39
S  Pšeničná mouka hladká [kg],2023-08,18.58
S  Pšeničná mouka hladká [kg],2023-09,17.58
S  Pšeničná mouka hladká [kg],2023-10,17.58
S  Pšeničná mouka hladká [kg],2023-11,16.94
S  Pšeničná mouka hladká [kg],2023-12,16.5
S  Pšeničná mouka hladká [kg],2024-01,16.04
S  Pšeničná mouka hladká [kg],2024-02,16.27
S  Pšeničná mouka hladká [kg],2024-03,15.11
S  Pšeničná mouka hladká [kg],2024-04,17.14
S  Pšeničná mouka hladká [kg],2024-05,17.23
S  Pšeničná mouka hladká [kg],2024-06,15.89
S  Pšeničná mouka hladká [kg],2024-07,16.13
S  Pšeničná mouka hladká [kg],2024-08,16.04
S  Pšeničná mouka hladká [kg],2024-09,15.52
S  Pšeničná mouka hladká [kg],2024-10,14.88
S  Pšeničná mouka hladká [kg],2024-11,14.7
S  Pšeničná mouka hladká [kg],2024-12,14.38
S  Pšeničná mouka hladká [kg],2025-01,15.28
S  Pšeničná mouka hladká [kg],2025-02,14.92
S  Pšeničná mouka hladká [kg],2025-03,14.7
S  Pšeničná mouka hladká [kg],2025-04,13.77
S  Pšeničná mouka hladká [kg],2025-05,15.01
S  Pšeničná mouka hladká [kg],2025-06,15.05
S  Pšeničná mouka hladká [kg],2025-07,14.47
S  Pšeničná mouka hladká [kg],2025-08,15.16
S  Pšeničná mouka hladká [kg],2025-09,15
S  Pšeničná mouka hladká [kg],2025-10,14.33
