Month,S  vejce slepičí čerstvá [ks]_timeseries,Z  vejce slepičí konzumní tříděná [ks]_timeseries,eggsIndex
2013-01-01,3.55,2.168,2.859
2013-02-01,3.55,2.102,2.8259999999999996
2013-03-01,3.54,2.025,2.7824999999999998
2013-04-01,3.31,1.854,2.582
2013-05-01,3.01,1.677,2.3434999999999997
2013-06-01,2.82,1.557,2.1885
2013-07-01,2.71,1.568,2.1390000000000002
2013-08-01,2.68,1.517,2.0985
2013-09-01,2.66,1.533,2.0965
2013-10-01,2.73,1.665,2.1975
2013-11-01,2.87,1.776,2.323
2013-12-01,2.95,1.824,2.387
2014-01-01,3.02,1.866,2.443
2014-02-01,3.0,1.858,2.4290000000000003
2014-03-01,3.06,1.875,2.4675000000000002
2014-04-01,2.93,1.875,2.4025
2014-05-01,3.02,1.777,2.3985
2014-06-01,3.03,1.662,2.346
2014-07-01,2.98,1.661,2.3205
2014-08-01,3.07,1.694,2.3819999999999997
2014-09-01,3.01,1.746,2.378
2014-10-01,3.16,1.953,2.5565
2014-11-01,3.34,2.029,2.6845
2014-12-01,3.3,2.088,2.694
2015-01-01,3.34,2.08,2.71
2015-02-01,3.27,2.011,2.6405000000000003
2015-03-01,3.36,1.975,2.6675
2015-04-01,3.23,1.851,2.5404999999999998
2015-05-01,3.33,1.724,2.527
2015-06-01,3.11,1.72,2.415
2015-07-01,3.12,1.754,2.4370000000000003
2015-08-01,2.9,1.83,2.365
2015-09-01,2.89,1.812,2.351
2015-10-01,2.91,1.926,2.418
2015-11-01,2.98,1.957,2.4685
2015-12-01,2.96,1.973,2.4665
2016-01-01,2.98,1.922,2.451
2016-02-01,2.95,1.795,2.3725
2016-03-01,2.86,1.8,2.33
2016-04-01,2.89,1.739,2.3145000000000002
2016-05-01,2.86,1.605,2.2325
2016-06-01,2.67,1.488,2.0789999999999997
2016-07-01,2.75,1.467,2.1085000000000003
2016-08-01,2.494,1.402,1.948
2016-09-01,2.58,1.593,2.0865
2016-10-01,2.69,1.656,2.173
2016-11-01,3.16,1.72,2.44
2016-12-01,3.29,1.89,2.59
2017-01-01,3.41,1.936,2.673
2017-02-01,3.38,1.934,2.657
2017-03-01,3.29,1.983,2.6365
2017-04-01,3.36,1.955,2.6574999999999998
2017-05-01,3.27,1.859,2.5645
2017-06-01,3.25,1.803,2.5265
2017-07-01,3.42,1.704,2.562
2017-08-01,3.29,1.706,2.498
2017-09-01,3.22,1.809,2.5145
2017-10-01,3.62,2.054,2.8369999999999997
2017-11-01,5.0,2.907,3.9535
2017-12-01,5.0,3.033,4.0165
2018-01-01,4.65,2.579,3.6145000000000005
2018-02-01,4.19,1.97,3.08
2018-03-01,3.78,1.935,2.8575
2018-04-01,3.8,1.82,2.81
2018-05-01,3.7,1.763,2.7315
2018-06-01,3.88,1.686,2.783
2018-07-01,3.7,1.7,2.7
2018-08-01,3.63,1.735,2.6825
2018-09-01,3.8,1.761,2.7805
2018-10-01,3.6,1.75,2.675
2018-11-01,3.72,1.781,2.7505
2018-12-01,3.61,1.824,2.717
2019-01-01,3.38,1.821,2.6005
2019-02-01,3.35,1.723,2.5365
2019-03-01,3.23,1.773,2.5015
2019-04-01,3.17,1.783,2.4764999999999997
2019-05-01,3.17,1.7,2.435
2019-06-01,3.06,1.683,2.3715
2019-07-01,2.99,1.601,2.2955
2019-08-01,2.98,1.59,2.285
2019-09-01,3.02,1.643,2.3315
2019-10-01,3.04,1.753,2.3965
2019-11-01,3.14,1.849,2.4945
2019-12-01,3.15,1.938,2.544
2020-01-01,3.09,1.864,2.477
2020-02-01,2.98,1.86,2.42
2020-03-01,2.96,1.881,2.4205
2020-04-01,2.87,1.867,2.3685
2020-05-01,3.01,1.8,2.405
2020-06-01,2.97,1.754,2.362
2020-07-01,2.95,1.781,2.3655
2020-08-01,2.88,1.71,2.295
2020-09-01,2.68,1.708,2.194
2020-10-01,2.54,1.752,2.146
2020-11-01,2.77,1.826,2.298
2020-12-01,2.7,1.876,2.2880000000000003
2021-01-01,2.72,1.906,2.313
2021-02-01,2.44,1.892,2.166
2021-03-01,2.56,1.906,2.233
2021-04-01,2.44,1.911,2.1755
2021-05-01,2.37,1.912,2.141
2021-06-01,2.7,1.845,2.2725
2021-07-01,2.52,1.719,2.1195
2021-08-01,2.69,1.689,2.1895
2021-09-01,2.48,1.728,2.104
2021-10-01,2.64,1.837,2.2385
2021-11-01,2.6,1.898,2.249
2021-12-01,2.53,1.9,2.215
2022-01-01,2.94,1.94,2.44
2022-02-01,2.82,1.99,2.405
2022-03-01,2.94,2.04,2.49
2022-04-01,3.01,2.22,2.615
2022-05-01,3.34,2.25,2.795
2022-06-01,3.45,2.27,2.8600000000000003
2022-07-01,3.37,2.21,2.79
2022-08-01,3.59,2.2,2.895
2022-09-01,3.55,2.36,2.955
2022-10-01,4.5,2.61,3.5549999999999997
2022-11-01,4.89,3.01,3.9499999999999997
2022-12-01,5.1,3.29,4.195
2023-01-01,5.65,3.55,4.6
2023-02-01,5.63,3.69,4.66
2023-03-01,5.04,3.69,4.365
2023-04-01,4.34,3.48,3.91
2023-05-01,4.68,3.12,3.9
2023-06-01,4.7,2.97,3.835
2023-07-01,4.55,2.82,3.6849999999999996
2023-08-01,4.14,2.62,3.38
2023-09-01,3.73,2.62,3.175
2023-10-01,4.04,2.63,3.335
2023-11-01,3.62,2.62,3.12
2023-12-01,3.71,2.7,3.205
2024-01-01,4.03,2.76,3.395
2024-02-01,3.78,2.69,3.235
2024-03-01,3.61,2.74,3.175
2024-04-01,3.58,2.76,3.17
2024-05-01,3.47,2.58,3.0250000000000004
2024-06-01,3.37,2.45,2.91
2024-07-01,3.57,2.31,2.94
2024-08-01,3.24,2.27,2.755
2024-09-01,3.48,2.34,2.91
2024-10-01,3.69,2.4,3.045
2024-11-01,4.76,2.93,3.8449999999999998
2024-12-01,4.8,3.43,4.115
2025-01-01,4.8,3.43,4.115
2025-02-01,4.87,3.29,4.08
2025-03-01,5.21,3.52,4.365
2025-04-01,4.97,3.94,4.455
2025-05-01,5.11,3.7,4.405
2025-06-01,4.99,3.41,4.2
2025-07-01,4.58,3.3,3.94
2025-08-01,4.63,3.29,3.96
2025-09-01,4.64,3.34,3.9899999999999998
2025-10-01,4.81,3.56,4.185
